MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;1;2;1;11.53;14.621;168.58
1;1;2;1;11.53;12.137;139.94
1;1;2;1;11.53;8.583;98.96
1;1;2;1;11.53;9.495;109.48
1;1;2;1;11.53;11.348;130.84
1;4;2;1;11.53;9.323;107.49
1;1;2;1;11.53;8.12;93.62
1;1;2;1;11.53;12.269;141.46
1;2;2;1;11.53;15.002;172.97
1;1;2;1;11.53;9.879;113.9
1;1;2;1;11.53;6.903;79.59
1;3;2;1;11.53;12.589;145.15
1;2;2;1;11.53;13.895;160.21
1;4;2;1;11.53;10.927;125.99
1;3;2;1;11.53;65.906;759.9
1;4;2;1;11.53;5.158;59.47
1;3;2;1;11.53;18.629;214.79
1;4;2;1;11.53;8.922;102.87
1;2;2;1;11.53;15.847;182.72
1;5;2;1;11.53;6.728;77.57
1;2;2;1;11.53;10.44;120.37
1;3;2;1;11.53;24.464;282.07
1;2;2;1;11.53;18.682;215.4
1;2;2;1;11.53;19.628;226.31
1;1;2;2;11.01;2.474;27.24
1;1;2;1;11.53;9.156;105.57
1;1;2;1;11.53;8.087;93.24
1;1;2;2;11.01;3.202;35.25
